utterance_id,session_id,timestamp,language,original_text,translated_text,arousal,valence,dominance,label,intensity,flagged,coaching_note,latency_ms
9acda8a7-40f7-4164-8805-82cf5c36a1df,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:51:25.977957,en,i just received my order and everything is perfect thank you so much,i just received my order and everything is perfect thank you so much,0.585,0.707,0.702,Excited / Enthusiastic,0.469,False,,
ed608627-7988-4e2d-94ab-c8a489cf9bdd,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:51:32.332596,en,your team was incredibly helpful i really appreciate,your team was incredibly helpful i really appreciate,0.619,0.862,0.731,Excited / Enthusiastic,0.609,False,,
175e0e20-7c18-4699-8719-d47d7203015c,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:51:39.778447,en,i have been a customer for years and i am always satisfied,i have been a customer for years and i am always satisfied,0.521,0.503,0.65,Excited / Enthusiastic,0.297,False,,
1c0f88f2-4757-4425-8045-e7a584dc7cc2,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:51:48.155147,en,the agent i spoke with last time was wonderful please pass along my thanks,the agent i spoke with last time was wonderful please pass along my thanks,0.538,0.738,0.672,Excited / Enthusiastic,0.455,False,,
edefc98e-cbc4-415d-9c34-22879764fa13,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:51:54.410207,en,i am so glad you were able to resolve this so quickly,i am so glad you were able to resolve this so quickly,0.632,0.74,0.723,Excited / Enthusiastic,0.523,False,,
ba777291-c22a-480d-96e6-661c657eccf3,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:52:01.504183,en,this has been the best customer service experience i have ever,this has been the best customer service experience i have ever,0.511,0.579,0.638,Excited / Enthusiastic,0.318,False,,
83b3066a-5e1a-4164-b048-662979fbe5b2,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:52:08.478790,en,i just wanted to call and say how happy i am with your product,i just wanted to call and say how happy i am with your product,0.496,0.576,0.611,Excited / Enthusiastic,0.291,False,,
fd5f43cf-1bb0-4701-ac16-9533700fa0c1,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:52:17.626440,en,everything worked out perfectly i could not be more pleased,everything worked out perfectly i could not be more pleased,0.525,0.567,0.643,Excited / Enthusiastic,0.32,False,,
5a9f72dd-afaa-41d1-abf5-b77002e15961,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:52:24.035654,en,i am really impressed with how professional your staff is,i am really impressed with how professional your staff is,0.58,0.616,0.698,Excited / Enthusiastic,0.41,False,,
d5ab92da-63b1-46b6-9e58-94acc5c09919,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:52:30.508273,en,thank you for going above and beyond to help me today,thank you for going above and beyond to help me today,0.511,0.647,0.621,Excited / Enthusiastic,0.349,False,,
1e01fda0-ab00-4681-9346-ab5bd8b4892a,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:52:41.326237,en,this is absolutely unacceptable i wanna speak to your manager right now,this is absolutely unacceptable i wanna speak to your manager right now,0.615,0.304,0.721,Angry / Hostile,0.398,True,"Consider escalating this issue to a manager and offer to escalate further to a supervisor or executive if necessary, as the customer's escalating tone and emotion suggests a deeper concern that may require a more senior-level resolution.",11094.32
d7a5351c-e4cf-4fc6-a2bf-5b206751db94,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:52:47.822505,en,you people have wasted my entire day i am furious,you people have wasted my entire day i am furious,0.853,0.124,0.909,Angry / Hostile,0.735,True,,
cb2b2be2-e9a7-4cce-b26a-14dd3b6ebe71,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:52:55.430922,en,why does nobody ever fix anything around here this is ridiculous,why does nobody ever fix anything around here this is ridiculous,0.817,0.042,0.863,Angry / Hostile,0.719,True,,
1862ab6f-50f3-4d49-bbca-83d408880260,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:53:04.180340,en,i have called five times and nobody has helped me what is wrong with you,i have called five times and nobody has helped me what is wrong with you,0.639,0.178,0.712,Angry / Hostile,0.451,True,"Consider escalating this customer's issue to a supervisor or manager, as their escalating emotions (Angry/Hostile) and increasing intensity (0.40, 0.73, 0.72, 0.45) suggest a significant concern that requires a higher level of expertise to resolve.",3471.64
4349e563-6469-424f-be6a-586c11723982,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:53:11.759749,en,this is the worst service i have ever experienced in my life,this is the worst service i have ever experienced in my life,0.568,0.358,0.693,High energy,0.34,False,,
9062cb02-62de-4329-a1bb-3e42a19e0efb,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:53:18.530386,en,i am not paying for this you have completely failed,i am not paying for this you have completely failed,0.726,0.218,0.782,Angry / Hostile,0.534,True,,
436db0b7-a8d2-4b89-aad6-25afb8c03655,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:53:25.524417,en,stop putting me on hold i have been waiting for forty minutes,stop putting me on hold i have been waiting for forty minutes,0.807,0.149,0.824,Angry / Hostile,0.639,True,"The customer's escalating emotions and hostility suggest a breakdown in trust and frustration with the service. The supervisor should consider empathizing with the customer's experience, acknowledging the inconvenience and frustration, and reiterating the steps being taken to resolve the issue, while maintaining a calm and professional tone to de-escalate the situation.",3513.42
