metric,model,language,category,value
tone_alignment_avg,ollama,all,all,2.57
actionability_avg,ollama,all,all,2.71
tone_alignment_avg,openai,all,all,2.83
actionability_avg,openai,all,all,2.33
trigger_precision_overall_%,ollama,all,all,75.56
false_positives,ollama,all,all,2.0
false_negatives,ollama,all,all,20.0
trigger_precision_%,ollama,en,all,93.33
trigger_precision_%,ollama,es,all,63.33
trigger_precision_%,ollama,it,all,70.0
trigger_precision_%,ollama,all,happy,96.67
trigger_precision_%,ollama,all,hostile,33.33
trigger_precision_%,ollama,all,neutral,96.67
avg_latency_ms,ollama,all,all,4578.98
min_latency_ms,ollama,all,all,3305.56
max_latency_ms,ollama,all,all,11094.32
hostile_flag_rate_%,ollama,en,hostile,90.0
hostile_flag_rate_%,ollama,es,hostile,0.0
hostile_flag_rate_%,ollama,it,hostile,10.0
trigger_precision_overall_%,openai,all,all,76.67
false_positives,openai,all,all,1.0
false_negatives,openai,all,all,20.0
trigger_precision_%,openai,en,all,93.33
trigger_precision_%,openai,es,all,66.67
trigger_precision_%,openai,it,all,70.0
trigger_precision_%,openai,all,happy,100.0
trigger_precision_%,openai,all,hostile,33.33
trigger_precision_%,openai,all,neutral,96.67
avg_latency_ms,openai,all,all,1630.24
min_latency_ms,openai,all,all,1080.83
max_latency_ms,openai,all,all,3437.08
hostile_flag_rate_%,openai,en,hostile,90.0
hostile_flag_rate_%,openai,es,hostile,0.0
hostile_flag_rate_%,openai,it,hostile,10.0
